const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
S14000078,Edinburgh East and Musselburgh,SNP,lab,7.6%,4.7%,43.3%,4.1%,0.6%,0.0%,5.3%,34.3%,14.1%,26.4%,7.0%,3.6%,49.0%,0.0%,0.0%,0.0%
S14000079,Edinburgh North and Leith,SNP,snp,11.3%,6.1%,31.1%,8.7%,1.3%,0.0%,6.9%,34.5%,17.6%,21.7%,12.5%,3.3%,43.8%,0.0%,0.9%,0.2%
S14000080,Edinburgh South,Lab,lab,10.3%,11.3%,54.0%,6.2%,0.7%,0.0%,5.3%,12.1%,16.8%,46.2%,8.2%,2.9%,25.9%,0.0%,0.0%,0.0%
S14000081,Edinburgh South West,SNP,snp,12.8%,4.8%,33.1%,6.5%,0.6%,0.0%,8.0%,34.3%,24.6%,14.3%,9.5%,2.4%,47.6%,0.0%,1.2%,0.2%
S14000082,Edinburgh West,LD,ld,13.7%,7.0%,22.5%,30.2%,0.7%,0.0%,6.2%,19.8%,18.0%,8.7%,38.2%,2.0%,33.0%,0.0%,0.1%,0.0%
S14000083,Falkirk,SNP,snp,10.6%,3.6%,32.5%,3.3%,0.5%,0.0%,13.2%,36.2%,25.9%,12.1%,6.8%,3.1%,51.8%,0.0%,0.4%,0.0%
S14000084,Glasgow East,SNP,lab,7.2%,8.0%,39.8%,2.4%,0.7%,0.0%,6.6%,35.3%,12.3%,33.5%,4.1%,1.4%,48.7%,0.0%,0.1%,0.0%
S14000085,Glasgow North,SNP,lab,6.3%,5.4%,40.7%,3.0%,0.8%,0.0%,6.5%,37.3%,8.8%,34.1%,5.2%,3.7%,47.6%,0.0%,0.6%,0.0%
S14000086,Glasgow North East,SNP,lab,7.5%,7.0%,38.6%,3.0%,0.7%,0.0%,6.0%,37.3%,11.0%,37.7%,3.4%,0.2%,47.7%,0.0%,0.0%,0.0%
S14000087,Glasgow South,SNP,snp,8.2%,9.2%,33.0%,3.6%,2.6%,0.0%,6.0%,37.3%,12.7%,29.5%,6.0%,2.6%,48.3%,0.0%,0.9%,0.0%
S14000088,Glasgow South West,SNP,lab,7.5%,5.4%,41.1%,2.6%,1.1%,0.0%,8.4%,33.8%,12.6%,33.8%,4.4%,0.8%,46.7%,0.0%,1.6%,0.0%
S14000089,Glasgow West,SNP,lab,8.0%,3.8%,45.5%,3.4%,0.7%,0.0%,5.6%,32.9%,15.3%,28.0%,7.5%,0.4%,48.6%,0.0%,0.2%,0.0%
S14000090,Glenrothes and Mid Fife,SNP,snp,8.7%,0.0%,36.4%,2.8%,0.0%,0.0%,6.8%,45.4%,15.3%,27.4%,4.4%,0.3%,49.5%,0.0%,3.0%,0.0%
S14000091,Gordon and Buchan,Con,snp,26.2%,0.0%,22.0%,9.9%,0.0%,0.0%,8.6%,33.3%,46.0%,3.5%,11.3%,0.0%,39.2%,0.0%,0.0%,0.0%
S14000092,Hamilton and Clyde Valley,SNP,lab,10.8%,0.0%,50.0%,2.8%,0.6%,0.0%,5.0%,30.8%,25.5%,27.1%,3.8%,0.2%,43.4%,0.0%,0.0%,0.0%
S14000093,Inverclyde and Renfrewshire West,SNP,snp,10.9%,3.5%,36.3%,3.9%,0.7%,0.0%,6.8%,37.9%,17.9%,28.2%,6.4%,0.0%,47.5%,0.0%,0.0%,0.0%
S14000094,"Inverness, Skye and West Ross-shire",SNP,snp,12.7%,5.5%,25.0%,12.6%,0.6%,0.0%,8.2%,35.4%,23.3%,9.4%,15.1%,1.4%,48.7%,0.0%,2.1%,0.0%
S14000095,Livingston,SNP,snp,9.6%,5.2%,32.9%,2.8%,0.7%,0.0%,15.0%,33.9%,21.9%,22.0%,6.2%,2.6%,47.3%,0.0%,0.0%,0.0%
S14000096,Lothian East,SNP,lab,14.1%,4.6%,52.6%,3.3%,0.6%,0.0%,6.6%,18.1%,27.5%,30.5%,6.3%,0.0%,34.8%,0.0%,0.0%,1.0%
S14000097,Mid Dunbartonshire,SNP,ld,10.6%,5.9%,19.4%,36.8%,0.9%,0.0%,4.8%,21.7%,15.6%,9.4%,34.5%,1.6%,37.9%,0.0%,0.0%,1.1%
S14000098,"Moray West, Nairn and Strathspey",SNP,snp,22.3%,4.6%,20.2%,5.7%,0.7%,0.0%,10.5%,36.1%,40.9%,4.6%,5.9%,1.2%,46.1%,0.0%,0.6%,0.7%
S14000099,"Motherwell, Wishaw and Carluke",SNP,lab,10.8%,4.3%,42.9%,2.4%,0.6%,0.0%,7.4%,31.6%,21.2%,27.5%,4.0%,0.0%,45.9%,0.0%,0.0%,1.4%
S14000100,North East Fife,SNP,ld,9.6%,3.3%,25.3%,32.7%,0.0%,0.0%,5.5%,23.5%,13.7%,5.5%,39.6%,0.0%,41.0%,0.0%,0.4%,0.0%
S14000101,Paisley and Renfrewshire North,SNP,lab,10.1%,3.1%,39.6%,3.6%,0.0%,0.0%,9.0%,34.7%,19.5%,23.7%,7.6%,0.0%,48.9%,0.0%,0.3%,0.0%
S14000102,Paisley and Renfrewshire South,SNP,snp,10.6%,3.2%,37.1%,3.6%,0.5%,0.0%,5.7%,39.2%,18.2%,25.8%,6.2%,0.0%,49.8%,0.0%,0.0%,0.0%
S14000103,Perth and Kinross-shire,SNP,snp,19.3%,0.0%,21.6%,5.9%,0.6%,0.0%,15.0%,37.7%,41.1%,5.0%,8.0%,0.0%,45.3%,0.0%,0.7%,0.0%
S14000104,Rutherglen,SNP,lab,9.5%,0.0%,46.9%,3.9%,0.6%,0.0%,4.6%,34.6%,17.3%,31.2%,7.2%,0.0%,43.1%,0.0%,0.0%,1.3%
S14000105,Stirling and Strathallan,SNP,snp,17.4%,5.4%,30.3%,6.4%,0.0%,0.0%,6.7%,33.8%,35.0%,7.7%,5.8%,1.6%,49.8%,0.0%,0.0%,0.0%
S14000106,West Dunbartonshire,SNP,snp,8.6%,4.0%,35.1%,3.7%,1.7%,0.0%,6.5%,40.4%,14.2%,28.6%,4.2%,1.9%,49.7%,0.0%,0.0%,1.5%
W07000081,Aberafan Maesteg,Lab,lab,10.9%,3.3%,58.4%,2.5%,0.9%,10.7%,13.3%,0.0%,22.6%,52.9%,3.7%,1.6%,0.0%,9.0%,8.5%,1.6%
W07000082,Alyn and Deeside,Lab,lab,17.3%,3.2%,37.5%,6.6%,4.3%,7.2%,23.8%,0.0%,42.0%,42.7%,5.9%,0.0%,0.0%,3.4%,6.0%,0.0%
W07000083,Bangor Aberconwy,Con,lab,16.0%,3.0%,43.2%,3.1%,0.9%,17.5%,16.4%,0.0%,40.0%,38.4%,4.4%,0.0%,0.0%,16.2%,0.9%,0.0%
W07000084,Blaenau Gwent and Rhymney,Lab,lab,16.9%,5.3%,60.0%,4.2%,1.4%,12.3%,0.0%,0.0%,19.6%,50.4%,3.7%,1.0%,0.0%,6.4%,18.0%,0.9%
W07000085,"Brecon, Radnor and Cwm Tawe",Con,con,27.1%,2.9%,26.9%,24.3%,1.2%,8.8%,8.7%,0.0%,46.6%,17.5%,29.2%,0.4%,0.0%,3.2%,1.8%,1.1%
W07000086,Bridgend,Con,lab,20.8%,5.1%,44.1%,4.0%,1.0%,9.1%,16.0%,0.0%,44.0%,38.5%,5.3%,1.9%,0.0%,5.2%,5.2%,0.0%
W07000087,Caerfyrddin,Con,pc,17.7%,2.2%,26.4%,2.8%,5.7%,37.1%,8.2%,0.0%,39.2%,25.1%,1.3%,0.0%,0.0%,30.7%,3.8%,0.0%
W07000088,Caerphilly,Lab,lab,13.5%,2.7%,52.7%,1.3%,0.0%,16.8%,13.1%,0.0%,28.6%,43.9%,0.7%,0.4%,0.0%,14.7%,11.7%,0.0%
W07000089,Cardiff East,Lab,lab,12.0%,5.6%,56.8%,8.4%,1.9%,6.2%,9.0%,0.0%,22.7%,59.2%,12.3%,0.6%,0.0%,0.6%,3.5%,1.0%
W07000090,Cardiff North,Lab,lab,19.0%,6.5%,51.4%,4.4%,0.0%,8.4%,10.4%,0.0%,35.7%,49.6%,6.5%,1.5%,0.0%,3.5%,2.7%,0.5%
W07000091,Cardiff South and Penarth,Lab,lab,15.8%,5.5%,53.6%,5.3%,0.0%,10.6%,9.2%,0.0%,30.1%,53.7%,7.0%,2.3%,0.0%,4.2%,2.8%,0.0%
W07000092,Cardiff West,Lab,lab,14.1%,3.5%,53.9%,3.4%,1.2%,11.9%,12.1%,0.0%,29.9%,50.2%,5.3%,2.2%,0.0%,8.5%,3.7%,0.3%
W07000093,Ceredigion Preseli,PC,pc,12.9%,3.1%,28.1%,7.8%,0.6%,37.4%,10.1%,0.0%,28.3%,20.8%,14.6%,1.3%,0.0%,31.1%,4.0%,0.0%
W07000094,Clwyd East,Con,lab,23.9%,2.4%,47.2%,4.0%,1.3%,8.4%,12.9%,0.0%,47.9%,37.9%,5.3%,0.0%,0.0%,4.7%,4.1%,0.0%
W07000095,Clwyd North,Con,lab,20.8%,3.4%,44.8%,4.4%,0.0%,10.4%,16.3%,0.0%,45.8%,40.3%,4.9%,0.0%,0.0%,7.2%,1.9%,0.0%
W07000096,Dwyfor Meirionnydd,PC,pc,11.2%,7.2%,16.4%,1.7%,0.6%,54.6%,8.4%,0.0%,26.2%,22.8%,0.2%,0.0%,0.0%,45.7%,5.1%,0.0%
W07000097,Gower,Lab,lab,18.9%,3.0%,50.2%,3.7%,1.0%,8.6%,14.6%,0.0%,39.9%,45.8%,5.9%,0.0%,0.0%,5.1%,3.4%,0.0%
W07000098,Llanelli,Lab,lab,11.7%,2.3%,42.1%,1.3%,0.8%,22.1%,19.7%,0.0%,30.7%,39.3%,0.0%,0.0%,0.0%,21.1%,8.9%,0.0%
W07000099,Merthyr Tydfil and Aberdare,Lab,lab,12.5%,5.6%,50.4%,2.9%,3.3%,12.0%,13.4%,0.0%,20.6%,51.7%,3.3%,0.0%,0.0%,8.1%,10.7%,5.5%
W07000100,Mid and South Pembrokeshire,Con,lab,21.6%,2.4%,44.5%,3.1%,0.9%,7.7%,19.7%,0.0%,52.9%,37.2%,4.6%,0.0%,0.0%,5.3%,0.0%,0.0%
W07000101,Monmouthshire,Con,lab,24.9%,4.5%,38.9%,8.0%,1.1%,6.4%,16.2%,0.0%,52.1%,31.6%,9.6%,2.5%,0.0%,2.4%,0.9%,0.8%
W07000102,Montgomeryshire and Glyndwr,Con,lab,24.0%,2.7%,38.8%,9.1%,0.0%,6.6%,18.8%,0.0%,53.6%,24.8%,16.8%,0.0%,0.0%,2.0%,1.4%,1.4%
W07000103,Neath and Swansea East,Lab,lab,13.6%,3.8%,52.7%,2.7%,0.0%,11.8%,15.5%,0.0%,28.2%,47.1%,4.1%,1.7%,0.0%,8.5%,8.8%,1.5%
W07000104,Newport East,Lab,lab,16.8%,3.9%,56.0%,3.6%,1.1%,6.5%,12.0%,0.0%,36.2%,47.5%,5.7%,1.9%,0.0%,2.6%,6.1%,0.0%
W07000105,Newport West and Islwyn,Lab,lab,14.6%,3.1%,52.9%,2.8%,0.8%,6.6%,19.1%,0.0%,37.7%,41.8%,5.1%,2.0%,0.0%,4.6%,8.9%,0.0%
W07000106,Pontypridd,Lab,lab,13.9%,3.8%,50.3%,2.2%,1.9%,14.0%,13.9%,0.0%,27.3%,46.6%,1.4%,0.2%,0.0%,10.9%,8.5%,5.1%
W07000107,Rhondda and Ogmore,Lab,lab,7.5%,3.0%,65.9%,1.4%,0.0%,12.2%,10.0%,0.0%,15.4%,56.3%,2.3%,1.4%,0.0%,12.4%,11.5%,0.7%
W07000108,Swansea West,Lab,lab,12.9%,4.2%,47.3%,6.1%,1.2%,10.3%,18.1%,0.0%,28.7%,51.4%,6.4%,0.8%,0.0%,5.9%,6.8%,0.0%
W07000109,Torfaen,Lab,lab,14.9%,3.9%,49.1%,3.9%,1.0%,6.6%,20.6%,0.0%,33.3%,42.7%,5.0%,2.2%,0.0%,3.6%,13.2%,0.0%
W07000110,Vale of Glamorgan,Con,lab,21.1%,8.8%,50.9%,1.5%,1.1%,4.0%,12.7%,0.0%,49.1%,43.9%,0.0%,6.0%,0.0%,0.0%,0.0%,1.0%
W07000111,Wrexham,Con,lab,16.7%,3.0%,43.2%,2.3%,6.8%,8.4%,19.7%,0.0%,46.5%,38.2%,4.3%,0.9%,0.0%,6.3%,3.8%,0.0%
W07000112,Ynys Môn,Con,lab,14.5%,2.0%,37.6%,2.2%,0.7%,31.3%,11.9%,0.0%,35.5%,30.1%,0.0%,0.0%,0.0%,28.5%,6.0%,0.0%
